"Year","Practice.Code"
2019,"Y03364"
2019,"Y03434"
2019,"Y04943"
2019,"Y04979"
2019,"Y05021"
2019,"Y05159"
2019,"Y05548"
2020,"A81015"
2020,"A81033"
2020,"A81047"
2020,"A83019"
2020,"A83042"
2020,"A85605"
2020,"A89612"
2020,"A89620"
2020,"A89624"
2020,"B81084"
2020,"B81089"
2020,"B81693"
2020,"B82001"
2020,"B82092"
2020,"B82611"
2020,"B83043"
2020,"B83050"
2020,"B83631"
2020,"B84017"
2020,"B85011"
2020,"B86037"
2020,"B86651"
2020,"B87023"
2020,"C82015"
2020,"C82023"
2020,"C83006"
2020,"C83016"
2020,"C83017"
2020,"C83605"
2020,"C83633"
2020,"C83652"
2020,"C84002"
2020,"C84003"
2020,"C84052"
2020,"C84125"
2020,"C84672"
2020,"C84712"
2020,"C85015"
2020,"C86014"
2020,"C86030"
2020,"C87023"
2020,"C88042"
2020,"D81007"
2020,"D81009"
2020,"D81019"
2020,"D81020"
2020,"D81039"
2020,"D81074"
2020,"D81087"
2020,"D81605"
2020,"D81616"
2020,"D81619"
2020,"D82081"
2020,"D82613"
2020,"E81011"
2020,"E81017"
2020,"E81062"
2020,"E81626"
2020,"E82080"
2020,"E82095"
2020,"E82613"
2020,"E82630"
2020,"E82656"
2020,"E83624"
2020,"E83633"
2020,"E83644"
2020,"E83654"
2020,"E83656"
2020,"E83658"
2020,"E84026"
2020,"E84029"
2020,"E84084"
2020,"E84657"
2020,"E84669"
2020,"E84690"
2020,"E84705"
2020,"E85110"
2020,"E85117"
2020,"E85686"
2020,"E85727"
2020,"E85733"
2020,"E87017"
2020,"E87057"
2020,"E87682"
2020,"F81018"
2020,"F81070"
2020,"F81079"
2020,"F81084"
2020,"F81094"
2020,"F81109"
2020,"F81157"
2020,"F81608"
2020,"F81648"
2020,"F81670"
2020,"F81718"
2020,"F81724"
2020,"F81743"
2020,"F81758"
2020,"F82665"
2020,"F83030"
2020,"F83051"
2020,"F84631"
2020,"F84661"
2020,"F84679"
2020,"F84708"
2020,"F85015"
2020,"F86655"
2020,"F86675"
2020,"F86704"
2020,"G81033"
2020,"G81094"
2020,"G81103"
2020,"G82012"
2020,"G82104"
2020,"G82187"
2020,"G82204"
2020,"G82230"
2020,"G82688"
2020,"G82710"
2020,"G82712"
2020,"G82726"
2020,"G82751"
2020,"G82793"
2020,"G83017"
2020,"G83043"
2020,"G83672"
2020,"G85010"
2020,"G85012"
2020,"G85081"
2020,"G85095"
2020,"G85112"
2020,"G85133"
2020,"G85712"
2020,"G85723"
2020,"H81054"
2020,"H81611"
2020,"H81620"
2020,"H81667"
2020,"H83048"
2020,"H83620"
2020,"H83622"
2020,"H83626"
2020,"H85056"
2020,"H85072"
2020,"J81043"
2020,"J81050"
2020,"J81063"
2020,"J81065"
2020,"J81090"
2020,"J81632"
2020,"J82046"
2020,"J82065"
2020,"J82100"
2020,"J82123"
2020,"J82190"
2020,"J82206"
2020,"J82212"
2020,"J82688"
2020,"J83017"
2020,"J83020"
2020,"J83644"
2020,"L81032"
2020,"L81035"
2020,"L81049"
2020,"L81052"
2020,"L81057"
2020,"L81060"
2020,"L81080"
2020,"L81088"
2020,"L81102"
2020,"L81124"
2020,"L82014"
2020,"L82617"
2020,"L83074"
2020,"L83138"
2020,"L83139"
2020,"L83144"
2020,"L83643"
2020,"L83647"
2020,"L84002"
2020,"L84017"
2020,"L84042"
2020,"L84055"
2020,"L85005"
2020,"L85060"
2020,"L85620"
2020,"M81013"
2020,"M81014"
2020,"M81023"
2020,"M81079"
2020,"M81080"
2020,"M82029"
2020,"M82045"
2020,"M83078"
2020,"M83631"
2020,"M83708"
2020,"M83733"
2020,"M85015"
2020,"M85045"
2020,"M85075"
2020,"M85611"
2020,"M85652"
2020,"M85776"
2020,"M86022"
2020,"M87002"
2020,"M87625"
2020,"M91022"
2020,"M91025"
2020,"M91604"
2020,"M91625"
2020,"M91643"
2020,"M91655"
2020,"M92030"
2020,"M92035"
2020,"N81015"
2020,"N81618"
2020,"N82051"
2020,"N82060"
2020,"N82100"
2020,"N82623"
2020,"N82647"
2020,"N82665"
2020,"N85619"
2020,"P81028"
2020,"P81104"
2020,"P81152"
2020,"P81163"
2020,"P81215"
2020,"P81607"
2020,"P81643"
2020,"P81690"
2020,"P81749"
2020,"P81758"
2020,"P81785"
2020,"P83019"
2020,"P83023"
2020,"P83029"
2020,"P85025"
2020,"P87036"
2020,"P88028"
2020,"P88604"
2020,"P88618"
2020,"P89017"
2020,"P89033"
2020,"P92619"
2020,"Y00054"
2020,"Y00075"
2020,"Y00092"
2020,"Y00151"
2020,"Y00189"
2020,"Y00198"
2020,"Y00268"
2020,"Y00280"
2020,"Y00484"
2020,"Y00527"
2020,"Y00984"
2020,"Y01177"
2020,"Y01200"
2020,"Y01262"
2020,"Y01960"
2020,"Y01962"
2020,"Y02404"
2020,"Y02464"
2020,"Y02477"
2020,"Y02499"
2020,"Y02501"
2020,"Y02512"
2020,"Y02597"
2020,"Y02614"
2020,"Y02620"
2020,"Y02624"
2020,"Y02660"
2020,"Y02666"
2020,"Y02711"
2020,"Y02812"
2020,"Y02823"
2020,"Y02868"
2020,"Y02887"
2020,"Y02957"
2020,"Y02968"
2020,"Y03201"
2020,"Y03303"
2020,"Y03362"
2020,"Y03506"
2020,"Y04786"
2020,"Y04926"
2020,"Y04927"
2020,"Y05569"
2021,"E83629"
2021,"E83632"
2021,"E84023"
2021,"E84077"
2021,"E84624"
2021,"E84667"
2021,"E85700"
2021,"F82639"
2021,"F82653"
2021,"F82668"
2021,"F84043"
2021,"F84702"
2021,"F84706"
2021,"F85645"
2021,"F86073"
2021,"G83005"
2021,"G83022"
2021,"G83034"
2021,"G83064"
2021,"G84628"
2021,"G85036"
2021,"G85048"
2021,"G85050"
2021,"G85717"
2021,"H83046"
2021,"H84043"
2021,"H84608"
2021,"H85019"
2021,"H85054"
2021,"Y02583"
2021,"Y02914"
2021,"J81032"
2021,"J81040"
2021,"J81055"
2021,"J81069"
2021,"J83063"
2021,"J83636"
2021,"L81016"
2021,"L81028"
2021,"L81112"
2021,"L81119"
2021,"L82037"
2021,"L83078"
2021,"L83080"
2021,"L83107"
2021,"L83644"
2021,"L84013"
2021,"L84057"
2021,"L85041"
2021,"Y03661"
2021,"G81013"
2021,"G81097"
2021,"G82011"
2021,"G82065"
2021,"G82096"
2021,"G82175"
2021,"G82662"
2021,"G82777"
2021,"H81079"
2021,"H81101"
2021,"H81647"
2021,"H81664"
2021,"H82641"
2021,"J82030"
2021,"J82141"
2021,"J82165"
2021,"J82195"
2021,"J82648"
2021,"J84010"
2021,"J84014"
2021,"J84018"
2021,"K81023"
2021,"K81032"
2021,"K81067"
2021,"K81640"
2021,"K82005"
2021,"Y02462"
2021,"Y02471"
2021,"Y04333"
2021,"C81019"
2021,"C81076"
2021,"C81654"
2021,"C82036"
2021,"C82123"
2021,"C82657"
2021,"C82663"
2021,"C83047"
2021,"C83628"
2021,"C84602"
2021,"C84650"
2021,"C84688"
2021,"K83033"
2021,"M82027"
2021,"M83128"
2021,"M83665"
2021,"M83712"
2021,"M83714"
2021,"M84603"
2021,"M84617"
2021,"M84624"
2021,"M85038"
2021,"M85052"
2021,"M85068"
2021,"M85083"
2021,"M85103"
2021,"M85127"
2021,"M85677"
2021,"M85689"
2021,"M86013"
2021,"M86613"
2021,"M88637"
2021,"M89028"
2021,"M89601"
2021,"M92024"
2021,"M92647"
2021,"Y00028"
2021,"Y00592"
2021,"Y02570"
2021,"Y02735"
2021,"Y04949"
2021,"D81024"
2021,"D81053"
2021,"D81063"
2021,"D81624"
2021,"D82069"
2021,"E81054"
2021,"E81059"
2021,"E81075"
2021,"E82025"
2021,"E82054"
2021,"E82076"
2021,"F81035"
2021,"F81074"
2021,"F81127"
2021,"F81138"
2021,"F81168"
2021,"F81195"
2021,"F81644"
2021,"F81691"
2021,"F81698"
2021,"K82062"
2021,"Y00164"
2021,"Y00243"
2021,"Y02080"
2021,"Y02638"
2021,"A82074"
2021,"N81094"
2021,"N81095"
2021,"N81112"
2021,"N84036"
2021,"P81146"
2021,"P81659"
2021,"P81667"
2021,"P81713"
2021,"P81727"
2021,"P81750"
2021,"P81756"
2021,"P81763"
2021,"P81778"
2021,"P83008"
2021,"P84631"
2021,"P84682"
2021,"P87652"
2021,"P88617"
2021,"P88624"
2021,"P91615"
2021,"Y02162"
2021,"Y02610"
2021,"A81632"
2021,"A82060"
2021,"A83004"
2021,"A83017"
2021,"A83076"
2021,"A86015"
2021,"A87014"
2021,"A88603"
2021,"A89603"
2021,"B81021"
2021,"B81049"
2021,"B81053"
2021,"B81056"
2021,"B81066"
2021,"B81602"
2021,"B83007"
2021,"B83011"
2021,"B83040"
2021,"B83638"
2021,"B84002"
2021,"B84615"
2021,"B86047"
2021,"B86077"
2021,"B86095"
2021,"B86633"
2021,"B86682"
2021,"C86039"
2021,"C86623"
2021,"C88033"
2021,"C88057"
2021,"Y00025"
2021,"Y00683"
2021,"Y02483"
2021,"Y02710"
2022,"E84696"
2022,"F84624"
2022,"E85105"
2022,"E85723"
2022,"E85672"
2022,"Y05566"
2022,"F82614"
2022,"F84734"
2022,"F84708"
2022,"F85656"
2022,"F85055"
2022,"F85684"
2022,"F85024"
2022,"F85707"
2022,"F85076"
2022,"F85681"
2022,"F85703"
2022,"F85048"
2022,"F85003"
2022,"F85652"
2022,"F85036"
2022,"F85686"
2022,"G83663"
2022,"G84021"
2022,"G83003"
2022,"Y00454"
2022,"G85118"
2022,"G85081"
2022,"E87050"
2022,"J83632"
2022,"L81043"
2022,"L81648"
2022,"L83125"
2022,"L83130"
2022,"J81031"
2022,"L84044"
2022,"L84020"
2022,"K81647"
2022,"G81684"
2022,"K82043"
2022,"K82042"
2022,"G82221"
2022,"G82722"
2022,"G82206"
2022,"G82757"
2022,"G82690"
2022,"G82727"
2022,"G82109"
2022,"G82622"
2022,"G82820"
2022,"Y02826"
2022,"K84617"
2022,"J82177"
2022,"J82117"
2022,"J82166"
2022,"J82029"
2022,"J82097"
2022,"H82083"
2022,"H82015"
2022,"M89004"
2022,"M83722"
2022,"M86023"
2022,"C81648"
2022,"C81104"
2022,"C84104"
2022,"C84048"
2022,"C84709"
2022,"C84133"
2022,"C84124"
2022,"M85064"
2022,"M85085"
2022,"Y02495"
2022,"M83115"
2022,"M83134"
2022,"Y03432"
2022,"M92003"
2022,"F81756"
2022,"F81720"
2022,"E81023"
2022,"D81040"
2022,"D81623"
2022,"E82109"
2022,"E82126"
2022,"E82057"
2022,"E82028"
2022,"D83036"
2022,"D83082"
2022,"F81738"
2022,"K82050"
2022,"F81622"
2022,"F81200"
2022,"F81016"
2022,"N81042"
2022,"N81021"
2022,"N81073"
2022,"N81091"
2022,"P81769"
2022,"P81134"
2022,"N82621"
2022,"P84055"
2022,"A82621"
2022,"A82065"
2022,"P85613"
2022,"P85006"
2022,"P87659"
2022,"P87003"
2022,"P87660"
2022,"P87014"
2022,"N83022"
2022,"P88600"
2022,"P91032"
2022,"P81177"
2022,"P92652"
2022,"N85053"
2022,"A83632"
2022,"A83603"
2022,"B85638"
2022,"B81080"
2022,"B86031"
2022,"A85609"
2022,"Y00151"
2022,"A84015"
2022,"C87621"
2022,"A89604"
2022,"B87040"
2023,"A82034"
2023,"A82049"
2023,"A82050"
2023,"A83076"
2023,"A83630"
2023,"A84003"
2023,"A84043"
2023,"A87015"
2023,"A87027"
2023,"B81062"
2023,"B81066"
2023,"B81677"
2023,"B81688"
2023,"B82020"
2023,"B82092"
2023,"B82103"
2023,"B83021"
2023,"B83023"
2023,"B83027"
2023,"B83049"
2023,"B83061"
2023,"B83071"
2023,"B83602"
2023,"B86023"
2023,"B87041"
2023,"B87600"
2023,"C81024"
2023,"C81660"
2023,"C82123"
2023,"C83605"
2023,"C83637"
2023,"C84096"
2023,"C84647"
2023,"C84680"
2023,"C84698"
2023,"C84710"
2023,"C85628"
2023,"C86613"
2023,"C88024"
2023,"C88643"
2023,"D81032"
2023,"D81053"
2023,"D83039"
2023,"D83615"
2023,"E81056"
2023,"E81611"
2023,"E83036"
2023,"E87735"
2023,"F81151"
2023,"F81195"
2023,"F81688"
2023,"F81691"
2023,"F83677"
2023,"F84046"
2023,"F84673"
2023,"F85027"
2023,"F85045"
2023,"F85053"
2023,"G81035"
2023,"G81053"
2023,"G81056"
2023,"G81064"
2023,"G82012"
2023,"G82103"
2023,"G82128"
2023,"G82133"
2023,"G82735"
2023,"G82791"
2023,"G83037"
2023,"G83061"
2023,"G84022"
2023,"G85008"
2023,"G85035"
2023,"G85082"
2023,"G85106"
2023,"H82010"
2023,"H84632"
2023,"J81071"
2023,"J81628"
2023,"J82004"
2023,"J82044"
2023,"J82133"
2023,"J82188"
2023,"J82212"
2023,"J82620"
2023,"J82651"
2023,"J83644"
2023,"K81032"
2023,"K81667"
2023,"L81060"
2023,"L81637"
2023,"L81655"
2023,"L82021"
2023,"L82024"
2023,"L82040"
2023,"L83022"
2023,"L83061"
2023,"L83080"
2023,"L83117"
2023,"L83132"
2023,"L83642"
2023,"L84057"
2023,"L85612"
2023,"M81073"
2023,"M81089"
2023,"M81621"
2023,"M82044"
2023,"M82604"
2023,"M83041"
2023,"M83128"
2023,"M83700"
2023,"M83705"
2023,"M83712"
2023,"M83714"
2023,"M85127"
2023,"M85663"
2023,"M88024"
2023,"M88637"
2023,"M89601"
2023,"N81015"
2023,"N84036"
2023,"N85034"
2023,"P81004"
2023,"P81173"
2023,"P81204"
2023,"P81210"
2023,"P81642"
2023,"P81689"
2023,"P83020"
2023,"P84062"
2023,"P84616"
2023,"P85607"
2023,"P87039"
2023,"P88001"
2023,"P91619"
2023,"P91625"
2023,"P92035"
2023,"P92623"
2023,"Y00212"
2023,"Y01139"
2023,"Y02128"
2023,"Y02129"
2023,"Y02260"
2023,"Y02470"
2023,"Y02512"
2023,"Y02585"
2023,"Y02615"
2023,"Y02660"
2023,"Y02823"
2023,"Y02961"
2023,"Y03112"
2023,"Y04883"
2023,"Y04947"
2023,"Y04951"
2023,"Y04952"
